0,1,2,3,4,5,6,7
filename,Biphenyl,ArOPh,Ratio of integral with IS,concentrations,Product,Ratio of integral with IS,concentrations
,4.05681665738424,1.6930869261423749,,0.0,2.644865557352703,,0.0
C1_E1-S1,274.837554931641,1942.98022460938,7.069558689287015,0.0,68.6228408813477,0.2496850945221657,0.0
C1_E1-S02,155.358230590821,1133.39086914063,7.295338424172256,0.0,nan,nan,0.0
C1_E1-S2,697.393981933594,4869.98193359375,6.983114365413997,0.0,253.633499145508,0.3636875363367547,0.0
C1_E1-S3,380.952728271485,2491.75,6.540837786635461,0.0,325.584899902344,0.8546595830397012,0.0
C1_E1-S4,536.345703125,3147.16235351563,5.867787017177159,0.0,808.709289550782,1.507813495733936,0.0
C1_E1-S5,365.103729248047,1984.10827636719,5.434368694216244,0.0,748.783874511719,2.050879830928827,0.0
C1_E1-S6,653.76220703125,3471.8994140625,5.310645639533798,0.0,1377.41955566406,2.106912178235196,0.0
C1_E1-S7,393.569030761719,2044.52526855469,5.194832694528041,0.0,919.465087890625,2.336223168045208,0.0
C1_E1-S8,491.554840087891,1496.46350097656,3.044346996377839,0.0,2144.12255859375,4.361919329713804,0.0
C1_E1-S9,493.762268066406,1525.38366699219,3.089307882851513,0.0,2234.78637695313,4.526037167045283,0.0
C1_E1-S10,296.26840209961,871.041137695313,2.940040623712736,0.0,1397.22155761719,4.716066741222787,0.0
C1_E1-S11,195.358520507813,256.368347167969,1.3122967275835609,0.0,1260.74536132813,6.453495645088634,0.0
C1_E1-S12,339.590026855469,409.474182128906,1.2057897751608002,0.0,2230.51733398438,6.5682651361657864,0.0
C1_E1-S13,179.326583862305,155.641372680664,0.8679213607290508,0.0,1244.91394042969,6.942160574394205,0.0
C1_E1-S14,139.015441894531,45.8393096923828,0.3297425744052263,0.0,1049.57336425781,7.550048756843187,0.0
