T,A,P
0,118.0954607,0
16.35,113.6338884,4.461572345
44.43333333,107.5622106,10.53325019
84.45,101.98373,16.11173072
154.0666667,96.04109521,22.05436554
161.75,90.20566348,26.87100071
168.7333333,87.50289977,29.57376442
181.5666667,80.59112072,36.48554347
192.9666667,76.20346941,39.37574559
206.4,71.58536468,43.99385032
277.5833333,54.52830098,61.05091401
283,50.92796785,62.69448645
302.2166667,38.12223875,75.50021555
499.2166667,4.79670594,108.8257484
612.4333333,1.255420881,112.3670334
